Method,Model,Category,Precision,Recall,F1,LabelThreshold,HistThreshold
graph,juvenile,juvenile,0.906,0.392,0.547229583975,0.65,0.5
model,mature,mature,0.735,0.338,0.463056849953,0.24,0.7
graph,mature,mature,0.704,0.257,0.376541103018,0.24,0.7
model,mature,juvenile,0.788,0.554,0.650599105812,0.24,0.7
graph,mature,juvenile,0.755,0.5,0.601593625498,0.24,0.7
model,juvenile,mature,0.677,0.284,0.400141519251,0.24,0.7
graph,juvenile,mature,0.621,0.243,0.3493125,0.24,0.7
model,juvenile,juvenile,0.963,0.703,0.812711884754,0.24,0.7
graph,juvenile,juvenile,0.98,0.649,0.78087170043,0.24,0.7
model,mature,mature,0.712,0.568,0.6319,0.07,0.9
graph,mature,mature,0.717,0.581,0.641875192604,0.07,0.9
model,mature,juvenile,0.767,0.757,0.761967191601,0.07,0.9
graph,mature,juvenile,0.735,0.676,0.704266477675,0.07,0.9
model,juvenile,mature,0.686,0.324,0.440126732673,0.07,0.9
graph,juvenile,mature,0.677,0.284,0.400141519251,0.07,0.9
model,juvenile,juvenile,0.915,0.73,0.812097264438,0.07,0.9
graph,juvenile,juvenile,0.966,0.77,0.856935483871,0.07,0.9
model,mature,mature,0.71,0.297,0.418808341609,0.28,0.7
graph,mature,mature,0.704,0.257,0.376541103018,0.28,0.7
model,mature,juvenile,0.78,0.527,0.629013006886,0.28,0.7
graph,mature,juvenile,0.755,0.5,0.601593625498,0.28,0.7
model,juvenile,mature,0.7,0.284,0.40406504065,0.28,0.7
graph,juvenile,mature,0.643,0.243,0.352706546275,0.28,0.7
model,juvenile,juvenile,0.962,0.689,0.802929133858,0.28,0.7
graph,juvenile,juvenile,0.979,0.622,0.760697064335,0.28,0.7
model,mature,mature,0.653,0.635,0.643874223602,0.03,0.9
graph,mature,mature,0.671,0.662,0.666469617404,0.03,0.9
model,mature,juvenile,0.691,0.757,0.722495856354,0.03,0.9
graph,mature,juvenile,0.658,0.703,0.679756061719,0.03,0.9
model,juvenile,mature,0.722,0.351,0.472361602982,0.03,0.9
graph,juvenile,mature,0.688,0.297,0.414895431472,0.03,0.9
model,juvenile,juvenile,0.918,0.757,0.82976238806,0.03,0.9
graph,juvenile,juvenile,0.983,0.797,0.880282022472,0.03,0.9
model,mature,mature,0.741,0.581,0.651317700454,0.07,0.7
graph,mature,mature,0.71,0.595,0.647432950192,0.07,0.7
model,mature,juvenile,0.76,0.77,0.764967320261,0.07,0.7
graph,mature,juvenile,0.739,0.689,0.71312464986,0.07,0.7
model,juvenile,mature,0.694,0.338,0.454596899225,0.07,0.7
graph,juvenile,mature,0.71,0.297,0.418808341609,0.07,0.7
model,juvenile,juvenile,0.932,0.743,0.826837014925,0.07,0.7
graph,juvenile,juvenile,0.983,0.784,0.872294284097,0.07,0.7
model,mature,mature,0.71,0.297,0.418808341609,0.28,0.9
graph,mature,mature,0.704,0.257,0.376541103018,0.28,0.9
model,mature,juvenile,0.78,0.527,0.629013006886,0.28,0.9
graph,mature,juvenile,0.755,0.5,0.601593625498,0.28,0.9
model,juvenile,mature,0.714,0.27,0.391829268293,0.28,0.9
graph,juvenile,mature,0.654,0.23,0.340316742081,0.28,0.9
model,juvenile,juvenile,0.943,0.676,0.787483631872,0.28,0.9
graph,juvenile,juvenile,0.957,0.608,0.743585942492,0.28,0.9
model,mature,mature,0.653,0.635,0.643874223602,0.03,0.7
graph,mature,mature,0.662,0.689,0.675230199852,0.03,0.7
model,mature,juvenile,0.667,0.757,0.709155898876,0.03,0.7
graph,mature,juvenile,0.658,0.703,0.679756061719,0.03,0.7
model,juvenile,mature,0.73,0.365,0.486666666667,0.03,0.7
graph,juvenile,mature,0.697,0.311,0.430093253968,0.03,0.7
